0 	the 	745
1 	to 	515
2 	I 	467
3 	a 	328
4 	and 	235
5 	for 	214
6 	of 	211
7 	Added 	159
8 	is 	153
9 	in 	132
10 	not 	118
11 	it 	114
12 	some 	112
13 	that 	108
14 	have 	103
15 	my 	93
16 	with 	93
17 	am 	91
18 	but 	87
19 	Now 	82
20 	on 	74
21 	now 	70
22 	Started 	66
23 	Fixed 	64
24 	up 	63
25 	be 	60
26 	assignment 	58
27 	work 	56
28 	need 	54
29 	get 	53
30 	Wrote 	52
31 	working 	51
32 	It 	48
33 	still 	46
34 	from 	46
35 	things 	44
36 	more 	44
37 	really 	44
38 	can 	41
39 	are 	39
40 	out 	39
41 	file 	38
42 	if 	37
43 	able 	37
44 	Finshed 	36
45 	so 	35
46 	about 	34
47 	branch 	34
48 	'master' 	33
49 	Merge 	33
50 	think 	32
51 	should 	32
52 	one 	30
53 	done 	30
54 	Still 	28
55 	first 	28
56 	bit 	27
57 	an 	26
58 	all 	26
59 	The 	26
60 	will 	26
61 	Adding 	25
62 	sure 	25
63 	what 	25
64 	working. 	24
65 	was 	24
66 	added 	24
67 	files 	24
68 	now. 	23
69 	make 	23
70 	into 	23
71 	Made 	22
72 	yet 	22
73 	Got 	22
74 	Not 	22
75 	function 	22
76 	before 	21
77 	fix 	21
78 	them 	21
79 	write 	21
80 	started 	21
81 	does 	21
82 	Removed 	20
83 	got 	20
84 	test 	20
85 	did 	20
86 	Did 	20
87 	Created 	20
88 	this 	20
89 	This 	20
90 	like 	20
91 	better 	19
92 	gh:hockeybuggy/dander01 	18
93 	way 	18
94 	around 	18
95 	start 	18
96 	symbol 	18
97 	just 	17
98 	records 	17
99 	as 	17
100 	at 	17
101 	good 	17
102 	made 	17
103 	new 	16
104 	do 	16
105 	right 	16
106 	post 	16
107 	time 	16
108 	data 	16
109 	it. 	16
110 	also 	16
111 	pretty 	16
112 	see 	16
113 	readme 	16
114 	line 	16
115 	dealer 	16
116 	table 	16
117 	works 	16
118 	lab 	15
119 	much 	15
120 	change 	15
121 	quite 	15
122 	than 	15
123 	very 	15
124 	seems 	15
125 	or 	15
126 	there 	15
127 	lot 	15
128 	Moved 	15
129 	program 	15
130 	list 	15
131 	by 	15
132 	problems 	15
133 	removed 	14
134 	2 	14
135 	But 	14
136 	don't 	14
137 	paper 	14
138 	problem 	14
139 	second 	13
140 	tree 	13
141 	Changed 	13
142 	may 	13
143 	Updated 	13
144 	code 	13
145 	use 	13
146 	text 	13
147 	add 	13
148 	page 	13
149 	unit 	12
150 	how 	12
151 	finshed 	12
152 	correct 	12
153 	Cleaned 	12
154 	only 	12
155 	3 	12
156 	reading 	12
157 	document 	12
158 	being 	12
159 	4 	12
160 	trying 	12
161 	section 	12
162 	two 	12
163 	dont 	12
164 	last 	12
165 	question 	12
166 	go 	12
167 	sort 	12
168 	tests 	12
169 	Also 	11
170 	want 	11
171 	writing 	11
172 	little 	11
173 	too 	11
174 	no 	11
175 	when 	11
176 	printing 	11
177 	read 	11
178 	small 	11
179 	might 	11
180 	found 	11
181 	create 	11
182 	Starting 	11
183 	while 	11
184 	know 	11
185 	github.com:hockeybuggy/dander01 	11
186 	well 	11
187 	work. 	11
188 	getting 	11
189 	kinda 	11
190 	would 	10
191 	files. 	10
192 	after 	10
193 	they 	10
194 	adding 	10
195 	node 	10
196 	clients 	10
197 	git 	10
198 	blog 	10
199 	gonna 	10
200 	output 	10
201 	rather 	10
202 	cis3150 	10
203 	wrote 	10
204 	back 	10
205 	command 	10
206 	Need 	10
207 	because 	10
208 	type 	9
209 	seem 	9
210 	left 	9
211 	commit 	9
212 	btree 	9
213 	maybe 	9
214 	any 	9
215 	going 	9
216 	article 	9
217 	can't 	9
218 	method 	9
219 	numbers 	9
220 	print 	9
221 	issue 	9
222 	whole 	9
223 	Done 	9
224 	yet. 	9
225 	properly 	9
226 	try 	9
227 	fixed 	9
228 	off 	9
229 	insert 	9
230 	errors 	8
231 	me 	8
232 	hand 	8
233 	flow 	8
234 	weird 	8
235 	shared 	8
236 	memory 	8
237 	discussion 	8
238 	thing 	8
239 	submit 	8
240 	open 	8
241 	pages 	8
242 	server 	8
243 	pacman 	8
244 	clean 	8
245 	Almost 	8
246 	input 	8
247 	file. 	8
248 	having 	8
249 	Trying 	8
250 	could 	8
251 	makefile 	8
252 	which 	8
253 	maze 	8
254 	class 	8
255 	even 	7
256 	keep 	7
257 	created 	7
258 	classes 	7
259 	They 	7
260 	syntax 	7
261 	testing 	7
262 	programs 	7
263 	old 	7
264 	check 	7
265 	figure 	7
266 	Yay 	7
267 	There 	7
268 	mostly 	7
269 	were 	7
270 	Hopefully 	7
271 	5 	7
272 	directory 	7
273 	search 	7
274 	needs 	7
275 	number 	7
276 	geog3480 	7
277 	look 	7
278 	signals 	7
279 	query 	7
280 	docs 	7
281 	final 	7
282 	stuff 	7
283 	correctly 	7
284 	progress 	7
285 	done. 	7
286 	almost 	7
287 	Renamed 	7
288 	overflow 	7
289 	functions 	7
290 	other 	7
291 	changed 	6
292 	changes 	6
293 	error. 	6
294 	word 	6
295 	each 	6
296 	debug 	6
297 	report 	6
298 	basic 	6
299 	client 	6
300 	had 	6
301 	submission 	6
302 	string 	6
303 	making 	6
304 	window 	6
305 	poll 	6
306 	working... 	6
307 	beginnings 	6
308 	ok 	6
309 	No 	6
310 	README 	6
311 	you 	6
312 	starting 	6
313 	pass 	6
314 	Tried 	6
315 	Worked 	6
316 	negitive 	6
317 	Yay. 	6
318 	Things 	6
319 	select 	6
320 	6 	6
321 	tested 	6
322 	messages 	6
323 	lab3 	6
324 	beginning 	6
325 	statments 	6
326 	chart 	6
327 	find 	6
328 	keys 	6
329 	methods 	6
330 	run 	6
331 	sections 	6
332 	problem. 	6
333 	structure 	6
334 	implement 	6
335 	move 	6
336 	symbols 	6
337 	bunch 	6
338 	1 	6
339 	doing 	6
340 	things. 	6
341 	shaders 	6
342 	cube 	6
343 	words 	6
344 	graphics 	6
345 	lost 	6
346 	he 	6
347 	up. 	5
348 	every 	5
349 	undo 	5
350 	call 	5
351 	end 	5
352 	A 	5
353 	All 	5
354 	attempt 	5
355 	alias 	5
356 	order 	5
357 	user 	5
358 	another 	5
359 	segfaulting 	5
360 	well. 	5
361 	though 	5
362 	gitignore 	5
363 	implementation 	5
364 	bad 	5
365 	program. 	5
366 	Maybe 	5
367 	sorting 	5
368 	deal 	5
369 	He 	5
370 	createing 	5
371 	vectors 	5
372 	sample 	5
373 	parameter 	5
374 	makeing 	5
375 	structure. 	5
376 	where 	5
377 	without 	5
378 	using 	5
379 	svn 	5
380 	calls 	5
381 	flat 	5
382 	Found 	5
383 	keeping 	5
384 	playing 	5
385 	courses 	5
386 	part 	5
387 	lib 	5
388 	most 	5
389 	close 	5
390 	Yet 	5
391 	load 	5
392 	simple 	5
393 	shader 	5
394 	moving 	5
395 	stack 	5
396 	database 	5
397 	game 	5
398 	blackjack 	5
399 	shading 	5
400 	inserting 	5
401 	May 	5
402 	nice 	5
403 	results 	5
404 	assignment. 	5
405 	tree. 	5
406 	Up 	5
407 	3. 	5
408 	econ 	5
409 	Next 	5
410 	passing 	5
411 	proposal 	5
412 	drawing 	5
413 	checking 	5
414 	flush 	5
415 	Really 	5
416 	been 	5
417 	editing 	5
418 	again. 	5
419 	 	4
420 	Does 	4
421 	school 	4
422 	yacc 	4
423 	implemented 	4
424 	records. 	4
425 	here 	4
426 	sure... 	4
427 	leaks 	4
428 	root 	4
429 	wrong 	4
430 	over 	4
431 	geog1200 	4
432 	then 	4
433 	forgot 	4
434 	free 	4
435 	hero 	4
436 	target 	4
437 	bar 	4
438 	compilers 	4
439 	loading 	4
440 	nicely. 	4
441 	Cleaning 	4
442 	sprite 	4
443 	stubs 	4
444 	timeouts 	4
445 	board 	4
446 	has 	4
447 	manual 	4
448 	down 	4
449 	avail 	4
450 	arrays 	4
451 	delete 	4
452 	longer 	4
453 	home 	4
454 	trouble 	4
455 	work.. 	4
456 	extra 	4
457 	crazy 	4
458 	suck 	4
459 	course 	4
460 	reasearch 	4
461 	looking 	4
462 	programming 	4
463 	place 	4
464 	work... 	4
465 	Getting 	4
466 	title 	4
467 	state 	4
468 	Having 	4
469 	way. 	4
470 	compile 	4
471 	return 	4
472 	edges 	4
473 	real 	4
474 	update 	4
475 	ass1 	4
476 	cis4430 	4
477 	moved 	4
478 	included 	4
479 	pellets 	4
480 	sitting 	4
481 	response 	4
482 	ok. 	4
483 	segfault 	4
484 	arguments 	4
485 	lab5 	4
486 	loops 	4
487 	7 	4
488 	feel 	4
489 	cleaned 	4
490 	double 	4
491 	creating 	4
492 	markdown 	4
493 	point 	4
494 	error 	4
495 	normals 	4
496 	world 	4
497 	Ok 	4
498 	table. 	4
499 	works. 	4
500 	long 	4
501 	forward 	4
502 	info 	4
503 	disscussion 	4
504 	Currently 	4
505 	looks 	4
506 	Which 	4
507 	completely 	4
508 	wrapper 	4
509 	graphs 	4
510 	hope 	4
511 	handle 	4
512 	queries 	4
513 	exam 	4
514 	Dealer 	4
515 	And 	4
516 	thought 	4
517 	sources 	4
518 	probally 	4
519 	own 	4
520 	count 	4
521 	clients. 	4
522 	functions. 	4
523 	formatting 	3
524 	Put 	3
525 	ever 	3
526 	player 	3
527 	spec 	3
528 	example 	3
529 	doc 	3
530 	github.com:hockeybuggy/dander01Conflicts: 	3
531 	version 	3
532 	folder 	3
533 	bit. 	3
534 	referance 	3
535 	them. 	3
536 	sorta 	3
537 	faces 	3
538 	page. 	3
539 	gui. 	3
540 	child 	3
541 	facts 	3
542 	previous 	3
543 	Kinda 	3
544 	possible 	3
545 	comments 	3
546 	attrib 	3
547 	support 	3
548 	form 	3
549 	until 	3
550 	shit 	3
551 	skip 	3
552 	somthing 	3
553 	graph 	3
554 	gui 	3
555 	port 	3
556 	appear 	3
557 	useful 	3
558 	It's 	3
559 	extruding 	3
560 	cat 	3
561 	haveing 	3
562 	fireing 	3
563 	product 	3
564 	uncommited 	3
565 	Moving 	3
566 	wont 	3
567 	name 	3
568 	cis3530 	3
569 	tried 	3
570 	triangles. 	3
571 	space 	3
572 	fd 	3
573 	promotion 	3
574 	array 	3
575 	size 	3
576 	returns 	3
577 	altro 	3
578 	take 	3
579 	lots 	3
580 	latex 	3
581 	Continuing 	3
582 	geo 	3
583 	draft 	3
584 	That 	3
585 	colours 	3
586 	parent 	3
587 	come 	3
588 	learning 	3
589 	direction 	3
590 	these 	3
591 	force 	3
592 	trello 	3
593 	running 	3
594 	Clean 	3
595 	changing 	3
596 	Is 	3
597 	In 	3
598 	If 	3
599 	Switched 	3
600 	images 	3
601 	Meg 	3
602 	Playing 	3
603 	Forgot 	3
604 	out. 	3
605 	Add 	3
606 	removing 	3
607 	today. 	3
608 	lab2 	3
609 	hw6 	3
610 	children 	3
611 	causes 	3
612 	nodes 	3
613 	cis2050 	3
614 	hash 	3
615 	semester 	3
616 	pdfs 	3
617 	flag 	3
618 	history 	3
619 	status 	3
620 	generation 	3
621 	hard 	3
622 	idea 	3
623 	lab4 	3
624 	reason 	3
625 	base 	3
626 	proxy 	3
627 	put 	3
628 	specular 	3
629 	Improved 	3
630 	schema 	3
631 	append 	3
632 	finding 	3
633 	measures 	3
634 	mangrove 	3
635 	cover 	3
636 	screenshots 	3
637 	remove 	3
638 	Removing 	3
639 	Might 	3
640 	both 	3
641 	java 	3
642 	empty 	3
643 	loop 	3
644 	ready 	3
645 	About 	3
646 	Seems 	3
647 	questions 	3
648 	tables 	3
649 	bin 	3
650 	big 	3
651 	couple 	3
652 	question. 	3
653 	submission. 	3
654 	creation 	3
655 	Mostly 	3
656 	anything 	3
657 	record 	3
658 	storing 	3
659 	chat 	3
660 	invalid 	3
661 	draw 	3
662 	algorithm 	3
663 	code. 	3
664 	sent 	3
665 	more. 	3
666 	jump 	3
667 	great 	3
668 	larger 	3
669 	zip 	3
670 	few 	3
671 	camera 	3
672 	stop 	3
673 	looping 	3
674 	2013 	3
675 	python 	3
676 	edit 	3
677 	stub 	3
678 	time. 	3
679 	dictionary 	3
680 	times 	3
681 	extrude 	3
682 	shader. 	3
683 	why 	3
684 	face 	3
685 	knowledge 	3
686 	deamon 	3
687 	local 	3
688 	BOSS 	3
689 	closer 	3
690 	opening 	3
691 	args 	3
692 	charts 	3
693 	slowly 	3
694 	players 	3
695 	now... 	3
696 	Yep 	3
697 	colour 	3
698 	Have 	3
699 	glui 	3
700 	untested 	3
701 	handleing 	3
702 	hero's 	3
703 	searching 	3
704 	function. 	3
705 	better. 	2
706 	testfiles 	2
707 	geog3780 	2
708 	under 	2
709 	marc2bib 	2
710 	updated 	2
711 	solution 	2
712 	vector 	2
713 	tired 	2
714 	machines 	2
715 	Game 	2
716 	courses. 	2
717 	mem 	2
718 	FUCK 	2
719 	Included 	2
720 	tell 	2
721 	posting 	2
722 	proxy. 	2
723 	machine 	2
724 	adjacent 	2
725 	untill 	2
726 	updateing 	2
727 	third 	2
728 	operations 	2
729 	saving 	2
730 	Hero 	2
731 	somewhere 	2
732 	Here 	2
733 	edits 	2
734 	strings. 	2
735 	edits. 	2
736 	went 	2
737 	clauses 	2
738 	day. 	2
739 	is. 	2
740 	forth 	2
741 	17. 	2
742 	Working 	2
743 	needed 	2
744 	ton 	2
745 	rest 	2
746 	took 	2
747 	tokens 	2
748 	somewhat 	2
749 	Realised 	2
750 	warmup 	2
751 	Only 	2
752 	rewrite 	2
753 	talking 	2
754 	gitshots 	2
755 	correctly. 	2
756 	professor 	2
757 	points 	2
758 	handin 	2
759 	menu 	2
760 	overflows 	2
761 	cminus 	2
762 	Segfault 	2
763 	contredict 	2
764 	best 	2
765 	game. 	2
766 	away 	2
767 	weak 	2
768 	now.. 	2
769 	improve 	2
770 	zsh 	2
771 	against 	2
772 	games 	2
773 	lot. 	2
774 	com 	2
775 	three 	2
776 	. 	2
777 	there... 	2
778 	save 	2
779 	Upped 	2
780 	io 	2
781 	split 	2
782 	files... 	2
783 	topo 	2
784 	statments. 	2
785 	alarms 	2
786 	Fixing 	2
787 	correctly... 	2
788 	pellets. 	2
789 	renamed 	2
790 	people 	2
791 	edges... 	2
792 	super 	2
793 	dinner 	2
794 	info. 	2
795 	inserted 	2
796 	happy 	2
797 	becoming 	2
798 	selects 	2
799 	Some 	2
800 	concurrent 	2
801 	'n 	2
802 	switched 	2
803 	Gets 	2
804 	layers 	2
805 	post. 	2
806 	finally 	2
807 	marks 	2
808 	while. 	2
809 	geog2110 	2
810 	Just 	2
811 	level 	2
812 	sequential 	2
813 	My 	2
814 	appears 	2
815 	bot 	2
816 	exiting 	2
817 	cis3760/report1.odt 	2
818 	strdup 	2
819 	mergeing 	2
820 	proxychats 	2
821 	attribute 	2
822 	readme. 	2
823 	input. 	2
824 	Renaming 	2
825 	winter 	2
826 	branches 	2
827 	switch 	2
828 	memory. 	2
829 	getInfo. 	2
830 	years 	2
831 	thang 	2
832 	chaining 	2
833 	wumpas 	2
834 	half 	2
835 	term 	2
836 	happen 	2
837 	Done. 	2
838 	clause 	2
839 	given 	2
840 	edges. 	2
841 	white 	2
842 	mxcleanelem 	2
843 	copy 	2
844 	clauses. 	2
845 	1. 	2
846 	animation 	2
847 	geog2480 	2
848 	Once 	2
849 	spaces 	2
850 	Test 	2
851 	corner 	2
852 	geography 	2
853 	.doc 	2
854 	repo 	2
855 	connections 	2
856 	detect 	2
857 	Rostow's 	2
858 	between 	2
859 	import 	2
860 	checks 	2
861 	many 	2
862 	decending 	2
863 	editing. 	2
864 	traversal 	2
865 	Woot 	2
866 	writeing 	2
867 	ambient 	2
868 	triangles 	2
869 	it's 	2
870 	brute 	2
871 	downloads 	2
872 	course.txt 	2
873 	undefined 	2
874 	intermurals 	2
875 	co 	2
876 	blow 	2
877 	except 	2
878 	either 	2
879 	meg's 	2
880 	literals 	2
881 	Commiting 	2
882 	timeout 	2
883 	freeing 	2
884 	maze. 	2
885 	image 	2
886 	complete 	2
887 	enough 	2
888 	copied 	2
889 	happening 	2
890 	define 	2
891 	connect 	2
892 	scanner 	2
893 	words. 	2
894 	coverpage 	2
895 	moves 	2
896 	valid 	2
897 	geog1350 	2
898 	dropbox 	2
899 	strings 	2
900 	Fix 	2
901 	messy 	2
902 	removal 	2
903 	presentation 	2
904 	far 	2
905 	fall 	2
906 	off... 	2
907 	further 	2
908 	chart. 	2
909 	movement 	2
910 	fixed. 	2
911 	So 	2
912 	producing 	2
913 	TIMEING 	2
914 	compare 	2
915 	collision 	2
916 	balls. 	2
917 	Cannot 	2
918 	Probally 	2
919 	Sweet 	2
920 	messed 	2
921 	discard. 	2
922 	late 	2
923 	compound 	2
924 	Saving 	2
925 	Ran 	2
926 	token 	2
927 	blackjackd 	2
928 	button 	2
929 	reduce 	2
930 	lab1 	2
931 	operation 	2
932 	Reading 	2
933 	todo 	2
934 	Flat 	2
935 	research 	2
936 	None 	2
937 	loop. 	2
938 	generate 	2
939 	properly. 	2
940 	CLRS 	2
941 	blank 	2
942 	miss 	2
943 	script 	2
944 	introduction 	2
945 	scheme 	2
946 	gotten 	2
947 	search. 	2
948 	dicussion 	2
949 	order. 	2
950 	play 	2
951 	warnings 	2
952 	plan 	2
953 	Had 	2
954 	assingment 	2
955 	blerb 	2
956 	While 	2
957 	him 	2
958 	restart 	2
959 	compiler 	2
960 	Lab3 	2
961 	bib, 	2
962 	For 	2
963 	project 	2
964 	(aka. 	2
965 	currently 	2
966 	various 	2
967 	geomorph 	2
968 	supposed 	2
969 	Could 	2
970 	interface 	2
971 	c 	2
972 	context 	2
973 	header 	2
974 	globals 	2
975 	eclipse. 	2
976 	due 	2
977 	meeting 	2
978 	sending 	2
979 	shader... 	2
980 	else 	2
981 	understand 	2
982 	p4 	2
983 	leave 	2
984 	p8 	2
985 	fun 	2
986 	Untested 	2
987 	rules 	2
988 	contents 	2
989 	9 	2
990 	.svn 	2
991 	used 	2
992 	geography. 	2
993 	redistribution 	2
994 	project. 	2
995 	plagued 	2
996 	summaries 	2
997 	cut 	2
998 	tweak 	2
999 	bib 	2
1000 	Or 	2
1001 	rotate 	2
1002 	mismatching 	2
1003 	continue 	2
1004 	fucking 	2
1005 	3.2 	2
1006 	scale 	2
1007 	decision 	2
1008 	exec 	2
1009 	minimal 	2
1010 	segfault. 	2
1011 	corners. 	2
1012 	gouraud 	2
1013 	within 	2
1014 	server. 	2
1015 	delta 	2
1016 	today 	2
1017 	alarm 	2
1018 	ulgy 	2
1019 	single 	2
1020 	changes. 	2
1021 	rainbow 	2
1022 	them... 	2
1023 	fixing 	2
1024 	elements 	2
1025 	calculating 	2
1026 	ago 	2
1027 	blinky 	2
1028 	once 	2
1029 	send 	2
1030 	assignment1 	2
1031 	include 	2
1032 	assignments 	2
1033 	Woot. 	2
1034 	other. 	2
1035 	index 	2
1036 	turn 	2
1037 	body 	2
1038 	degree 	2
1039 	geog3020 	2
1040 	leaving 	2
1041 	makes 	2
1042 	acending 	2
1043 	scaled 	2
1044 	traverse. 	2
1045 	topic 	2
1046 	midterm 	2
1047 	package 	2
